Reference Number,Property Name,NHL Designated Date,Restricted Address,Category of Property,State,County,City ,Street & Number,External Link,Federal Agencies,Other Names,Park Name
90001318,Kenworthy Hall,8/18/2004,0,BUILDING,ALABAMA,Perry,Marion,"AL 14, W of Marion",https://catalog.archives.gov/id/77835683,, Carlisle Hall; Edward Kennedy Carlisle House,
69000034,Mobile City Hall,11/7/1973,0,BUILDING,ALABAMA,Mobile,Mobile,111 S. Royal St.,https://catalog.archives.gov/id/77836878,, City Hall;Old City Hall--Old Southern Market,
83003521,MONTGOMERY (snagboat),6/30/1989,0,STRUCTURE,ALABAMA,Pickens,Pickensville,Tom Bevill Visitor Center,https://catalog.archives.gov/id/77835685, ARMY CORPS OF ENGINEERS, U.S. Snagboat MONTGOMERY,
73000368,Montgomery Union Station and Trainshed,12/8/1976,0,STRUCTURE,ALABAMA,Montgomery,Montgomery,Water St.,https://catalog.archives.gov/id/77837145,, Louisville &amp; Nashville Railroad:Montgomery Union Station and,
66000149,Moundville,7/19/1964,0,SITE,ALABAMA,Hale,Moundville,1 mi. (1.6 km) W of Moundville on SR 21,https://catalog.archives.gov/id/77835643,, Mound State Monument,
85002807,Neutral Buoyancy Space Simulator,10/3/1985,0,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835661, NATIONAL AERONAUTICS &amp; SPACE ADMINISTRATION,,
100006236,Old Monroe County Courthouse,1/13/2021,0,building,ALABAMA,Monroe,Monroeville,Courthouse Sq.,,,,
85002804,Propulsion and Structural Test Facility,10/3/1985,0,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835659, NATIONAL AERONAUTICS &amp; SPACE ADMINISTRATION, Solid Motor Structural Test Facility,
76000341,Redstone Test Stand,10/3/1985,0,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77836794, NATIONAL AERONAUTICS &amp; SPACE ADMINISTRATION, Interim Test Stand,
85002806,Saturn V Dynamic Test Stand,10/3/1985,0,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835663, NATIONAL AERONAUTICS &amp; SPACE ADMINISTRATION, Dynamic Structural Test Facility,
78000500,Saturn V Space Vehicle,2/10/1987,0,STRUCTURE,ALABAMA,Madison,Huntsville,Tranquility Base,https://catalog.archives.gov/id/77836796, SMITHSONIAN INSTITUTION,,
80000696,Sixteenth Street Baptist Church,2/20/2006,0,BUILDING,ALABAMA,Jefferson,Birmingham,1530 6th Ave. North at 16th St.,https://catalog.archives.gov/id/77836436,,,
72000162,Sloss Blast Furnace Site,5/29/1981,0,DISTRICT,ALABAMA,Jefferson,Birmingham,1st Ave. at 32nd St.,https://catalog.archives.gov/id/77836492,, Sloss Blast Furnaces,
73000347,St. Andrew's Church,11/7/1973,0,BUILDING,ALABAMA,Hale,Prairieville,U.S. 80,https://catalog.archives.gov/id/77835645,,,
74002223,Swayne Hall,12/2/1974,0,BUILDING,ALABAMA,Talladega,Talladega,Talladega College campus,https://catalog.archives.gov/id/77835690,,,
66000151,Tuskegee Institute National Historic Site,6/23/1965,0,DISTRICT,ALABAMA,Macon,Tuskegee,1 mi. NW of Tuskegee on U.S. 80,https://catalog.archives.gov/id/77835653, NATIONAL PARK SERVICE,,Tuskegee Institute
98000611,United States Post Office and Courthouse-Montgomery,7/21/2015,0,BUILDING,ALABAMA,Montgomery,Montgomery,15 Lee St.,https://catalog.archives.gov/id/77837169, GENERAL SERVICES ADMINISTRATION," Frank M. Johnson, Jr. Federal Building",
86000083,USS ALABAMA (battleship),1/14/1986,0,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835675,, BB-60,
86000086,USS DRUM (submarine),1/14/1986,0,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835673,, SS-228,
66000147,Wilson Dam,11/13/1966,0,STRUCTURE,ALABAMA,Colbert,Florence,Tennessee River on AL 133,https://catalog.archives.gov/id/77835635, TENNESSEE VALLEY AUTHORITY,,
73000371,"Yancey, William Lowndes, Law Office",11/7/1973,0,BUILDING,ALABAMA,Montgomery,Montgomery,Adams and Perry Sts.,,,,
95000453,Yuchi Town,6/19/1996,1,SITE,ALABAMA,Russell,Fort Benning,Address Restricted,, DEPARTMENT OF THE ARMY, 1RU63;1RU57,
87000841,Adak Army Base and Adak Naval Operating Station,2/27/1987,0,DISTRICT,ALASKA,Aleutian Islands,Adak Station,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",https://catalog.archives.gov/id/75325287, DEPARTMENT OF THE NAVY, Adak Naval Station (Naval Air Station Adak),
72000192,Alaska Native Brotherhood Hall,6/2/1978,0,BUILDING,ALASKA,Sitka,Sitka,Katlean St.,https://catalog.archives.gov/id/75325744,, Sitka Camp No. 1,
05000460,Amalik Bay Archeological District,4/5/2005,1,DISTRICT,ALASKA,Dillingham,King Salmon,Katmai National Park and Preserve--Address Restricted,,,,
66000162,American Flag Raising Site,6/13/1962,0,SITE,ALASKA,Sitka,Sitka,Castle Hill,https://catalog.archives.gov/id/75325329,, Baranov Castle;Castle Hill;AHRS Site Sit 002,
78000512,Anangula Archeological District,6/16/1978,1,SITE,ALASKA,Aleutian Islands,Nikolski,Address Restricted,, FISH AND WILDLIFE SERVICE, AHRS-SAM-012,
66000159,Anvil Creek Gold Discovery Site,12/21/1965,0,SITE,ALASKA,Nome,Nome,4.25 mi. N of Nome on Seward Peninsula at Anvil Creek,,,,
85002729,Attu Battlefield and U.S. Army and Navy Airfields on Attu,2/4/1985,0,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Attu Island,https://catalog.archives.gov/id/75325281, FISH AND WILDLIFE SERVICE,,
77001542,Bering Expedition Landing Site,6/2/1978,0,SITE,ALASKA,Valdez-Cordova,Katalla,S of Katalla on Kayak Island,https://catalog.archives.gov/id/75325828, FOREST SERVICE, AHRS SITE NO. XMI 005,
66000953,Birnirk Site,12/29/1962,1,SITE,ALASKA,North Slope,Barrow,Address Restricted,, BUREAU OF LAND MANAGEMENT,,
78000342,Brooks River Archeological District,4/19/1993,1,DISTRICT,ALASKA,Bristol Bay,Naknek,Address Restricted,https://catalog.archives.gov/id/75325290, NATIONAL PARK SERVICE, 49 MK1;XMK-051;Kittewick,Katmai
87001301,Cape Field at Fort Glenn (Umnak Island),5/28/1987,0,DISTRICT,ALASKA,Aleutian Islands,Fort Glenn,NE section of Umnak Island,https://catalog.archives.gov/id/75325277,, Umnak Airport,
73000378,Cape Krusenstern Archeological District National Monument,11/7/1973,1,SITE,ALASKA,Northwest Arctic,Kotzebue,Address Restricted,, NATIONAL PARK SERVICE, Cape Krusenstern;Sealing Point,Cape Krusenstern
78000535,Cape Nome Mining District Discovery Sites,6/2/1978,0,DISTRICT,ALASKA,Nome,Nome,Address unknown,https://catalog.archives.gov/id/75325312,," AHRS Site Nos. NOM 021,038,039;See Also:Anvil Creek Gold Dis",
66000155,Chaluka Site,12/29/1962,1,SITE,ALASKA,Aleutian Islands,Nikolski,Address Restricted,, BUREAU OF LAND MANAGEMENT,,
75002120,Chilkoot Trail,6/16/1978,0,DISTRICT,ALASKA,Skagway-Yakutat-Angoon,Skagway,Mile 0 to U.S./Canada Border,https://catalog.archives.gov/id/75325780, NATIONAL PARK SERVICE, AHRS SKG-067,Klondike Gold Rush
70000898,Church of the Assumption of the Virgin Mary,5/10/1970,0,BUILDING,ALASKA,Kenai Peninsula,Kenai,Mission and Overland Sts.,https://catalog.archives.gov/id/75325303,, Holy Assumption Orthodox Church,
70000112,Church of the Holy Ascension,4/15/1970,0,BUILDING,ALASKA,Aleutian Islands,Unalaska,In Unalaska,https://catalog.archives.gov/id/75325275, BUREAU OF LAND MANAGEMENT, Holy Ascension Orthodox Church,
74000442,Dry Creek Archeological Site,6/16/1978,1,SITE,ALASKA,Yukon-Koyukuk,Lignite,Address Restricted,,,,
85002733,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",2/4/1985,0,DISTRICT,ALASKA,Aleutian Islands,Unalaska,Amaknak Island,https://catalog.archives.gov/id/75325285,,,
70000919,Eagle Historic District,6/2/1978,0,DISTRICT,ALASKA,Southeast Fairbanks,Eagle,"Mile 0, Taylor Hwy.",https://catalog.archives.gov/id/75325795, BUREAU OF LAND MANAGEMENT," Eagle,City of;Egbert,Harry C.,Fort Site",
78000529,Fort Durham Site,6/16/1978,1,SITE,ALASKA,Juneau,Taku Harbor,Address Restricted,, FOREST SERVICE, AHRS Site JUN 036;Fort Taku,
72000190,Fort William H. Seward,6/16/1978,0,DISTRICT,ALASKA,Haines,Haines,S of Haines at Port Chilkoot,https://catalog.archives.gov/id/75325504,, Chilkoot Barracks;AHRS Site No. SKG-001,
78003208,Gallagher Flint Station Archeological Site,6/2/1978,1,SITE,ALASKA,North Slope,Sagwon,Address Restricted,,,,
66000157,Ipiutak Site,5/10/1970,1,SITE,ALASKA,North Slope,Point Hope Peninsula,Address Restricted,,,,
66000158,Iyatayet Site,1/20/1961,1,SITE,ALASKA,Nome,Cape Denbigh Peninsula,Address Restricted,,, Cape Denbigh Flint Site,
85002732,"Japanese Occupation Site, Kiska Island",2/4/1985,0,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Kiska Island,https://catalog.archives.gov/id/75325283, FISH AND WILDLIFE SERVICE,,
97001677,Kake Cannery,12/9/1997,0,DISTRICT,ALASKA,Wrangell-Peterburg,Kake,1.5 mi. south of Kake,https://catalog.archives.gov/id/75325350, BUREAU OF INDIAN AFFAIRS," Sanborn Cutting Co., Sunny Point Packing Co., Alaska Pacific",
78003420,Kennecott Mines,6/23/1986,0,DISTRICT,ALASKA,Valdez-Cordova,Kennecott,SE of Kennecott Glacier on N bank of National Creek,https://catalog.archives.gov/id/75325832,, AHRS Site No. XMC-001;Kennecott,
94001644,Kijik Archeological District,10/12/1994,1,DISTRICT,ALASKA,Bristol Bay,Nondalton,Address Restricted,, NATIONAL PARK SERVICE, Qizhjeh;XLC-001;see also:Kijik Historic District,Lake Clark
85002731,Kodiak Naval Operating Base and Forts Greely and Abercrombie,2/4/1985,0,SITE,ALASKA,Kodiak Island,Kodiak,Address unknown,https://catalog.archives.gov/id/75325308, COAST GUARD, US Coast Guard Support Center and Fort Abercrombie State His,
85002730,Ladd Field,2/4/1985,0,DISTRICT,ALASKA,Fairbanks North Star,Fairbanks,Address Unknown,https://catalog.archives.gov/id/75325295, DEPARTMENT OF THE ARMY; BUREAU OF LAND MANAGEMENT, Fort Wainwright,
71001093,Leffingwell Camp Site,6/16/1978,0,SITE,ALASKA,North Slope,Flaxman Island,58 mi. W of Barter Island on Arctic Coast,https://catalog.archives.gov/id/75325730, BUREAU OF LAND MANAGEMENT,,
72001581,NENANA (steamer),5/5/1989,0,STRUCTURE,ALASKA,Fairbanks North Star,Fairbanks,Alaskaland,https://catalog.archives.gov/id/75325492,,,
72001593,New Russia Site,6/16/1978,0,SITE,ALASKA,Skagway-Yakutat-Angoon,Yakutat,SW of Yakutat on Phipps Peninsula,https://catalog.archives.gov/id/75325774,,,
66000166,Old Sitka Site,6/13/1962,0,SITE,ALASKA,Sitka,Sitka,6 mi. N (9.6 km) of Sitka on Starrigavan Bay,https://catalog.archives.gov/id/75325327,, Redoubt St. Archangel Michael Site;AHRS SITE SIT 006,
72000191,Onion Portage Archeological District,6/16/1978,1,DISTRICT,ALASKA,Northwest Arctic,Kiana,Address Restricted,, NATIONAL PARK SERVICE; BUREAU OF LAND MANAGEMENT,,Kobuk Valley
66000957,Palugvik Archeological District,12/29/1962,1,SITE,ALASKA,Valdez-Cordova,Cordova,Address Restricted,, FOREST SERVICE,,
66000025,Russian Bishop's House,6/13/1962,0,BUILDING,ALASKA,Sitka,Sitka,Lincoln and Monastery Sts.,https://catalog.archives.gov/id/75325151, NATIONAL PARK SERVICE, Russian Mission Orphanage,Sitka
87001282,Russian-American Building No. 29,5/28/1987,0,BUILDING,ALASKA,Sitka,Sitka,202--204 Lincoln St.,https://catalog.archives.gov/id/75325331,," Tilson Building;Building No. 29, Sitka",
66000954,Russian-American Company Magazin,6/13/1962,0,BUILDING,ALASKA,Kodiak Island,Kodiak,Main St. and Mission Rd.,https://catalog.archives.gov/id/75325305,, Erskine House,
66000156,Seal Island Historic District,6/13/1962,0,DISTRICT,ALASKA,Aleutian Islands,Pribilof Islands,St. Paul and St. George Islands,https://catalog.archives.gov/id/75325279, DEPARTMENT OF COMMERCE, The Seal Islands;Pribilof Islands;See Also:80000744;80000743; Fur Seal Rookeries,
72000193,Sheldon Jackson School,8/7/2001,0,BUILDING,ALASKA,Sitka,Sitka,Lincoln St.,https://catalog.archives.gov/id/75325764,,,
86003559,Sitka Naval Operating Base and US Army Coastal Defenses,8/11/1986,0,DISTRICT,ALASKA,Sitka,Sitka,Japonski Island,https://catalog.archives.gov/id/75325333, BUREAU OF INDIAN AFFAIRS, Sitka;the Causeway;Mt. Edgecumbe School,
78000513,Sitka Spruce Plantation,6/16/1978,0,SITE,ALASKA,Aleutian Islands,Unalaska,N of Unalaska on Amaknak Island,https://catalog.archives.gov/id/75325355,," AHRS UNL-074;""The Forest""",
66000943,Skagway Historic District and White Pass,6/13/1962,0,DISTRICT,ALASKA,Skagway-Yakutat-Angoon,Skagway and,Head of Taiya Inlet on Lynn Canal,https://catalog.archives.gov/id/75325339, NATIONAL PARK SERVICE,,Klondike Gold Rush
74002264,Sourdough Lodge,6/16/1978,0,BUILDING,ALASKA,Valdez-Cordova,Gakona,AK 4 (Richardson Hwy.),,, Hart's Road House;AHRS GUL-056,
66000165,St. Michael's Cathedral,6/13/1962,0,BUILDING,ALASKA,Sitka,Sitka,"Lincoln and Maksoutoff District,",https://catalog.archives.gov/id/75325153,,,
72001542,"Thomas, George C., Memorial Library",6/2/1978,0,BUILDING,ALASKA,Fairbanks North Star,Fairbanks,901 1st Ave.,https://catalog.archives.gov/id/75325490,, North Star Boro Library;AHRS FAI-004,
72001541,Three Saints Site,6/16/1978,1,SITE,ALASKA,Kodiak Island,Old Harbor,Address Restricted,, FISH AND WILDLIFE SERVICE, AHRS SITE KOD 124,
66000161,Wales Sites,12/29/1962,1,DISTRICT,ALASKA,Nome,Wales,Address Restricted,,, Wales Complex,
100000875,Walrus Islands Archeological District,12/23/2016,1,,ALASKA,Dillingham,Togiak,Address Restricted,,,,
66000955,Yukon Island Main Site,12/29/1962,1,SITE,ALASKA,Kenai Peninsula,Yukon Island,Address Restricted,, BUREAU OF LAND MANAGEMENT,,
73002128,Blunts Point Naval Gun,5/28/1987,0,SITE,AMERICAN SAMOA,Eastern,Pago Pago,Matautu Ridge,https://catalog.archives.gov/id/131517728,," Matautu Ridge Gun Site;See Also: Blunt's Point Battery, Amer",
72001443,Government House,12/14/1990,0,BUILDING,AMERICAN SAMOA,Eastern,Pago Pago,Togotogo Ridge,https://catalog.archives.gov/id/131517735,," Building No.1;Naval Station;Tutuila;Government House,U.S. Na",
14000280,1956 Grand Canyon TWA-United Airlines Aviation Accident Site,4/22/2014,1,SITE,ARIZONA,Coconino,Grand Canyon National Park,Address Restricted,,,,
92001234,Air Force Facility Missile Site 8 (571-7) Military Reservation,4/19/1994,0,SITE,ARIZONA,Pima,Green Valley,1580 W. Duval Mine Rd.,https://catalog.archives.gov/id/75609550, AIR FORCE, Titan Missile Museum;Titan II ICBM Missile Site 571-7,
66000187,Awatovi Ruins,7/19/1964,1,SITE,ARIZONA,Navajo,Keams Canyon,Address Restricted,,, Awatovi,
71000118,Calabasas,12/14/1990,1,SITE,ARIZONA,Santa Cruz,Nogales,Address Restricted,,, San Cayetano de Calabasas;San Cayetano de Calabazas,
66000936,Casa Malpais Site,7/19/1964,1,SITE,ARIZONA,Apache,Springerville,Address Restricted,,, Arizona Q:15:3,
66000190,Desert Laboratory,12/21/1965,0,BUILDING,ARIZONA,Pima,Tucson,W of Tucson off W. Anklam Rd. on Tumamoc Hill,https://catalog.archives.gov/id/75609552,, Tumamoc Hill,
66000169,Double Adobe Site,1/20/1961,1,SITE,ARIZONA,Cochise,Douglas,Address Restricted,,,,
74000334,El Tovar Hotel,5/28/1987,0,BUILDING,ARIZONA,Coconino,Grand Canyon,"Grand Canyon National Park, Rte. 8A",https://catalog.archives.gov/id/75609735, NATIONAL PARK SERVICE, El Tovar,Grand Canyon
76000377,Fort Apache Historic District,3/2/2012,0,DISTRICT,ARIZONA,Navajo,Whiteriver,S of Whiteriver off AZ 73 on Fort Apache Indian Reservation,https://catalog.archives.gov/id/75610362, U.S. DEPARTMENT OF THE INTERIOR,,
72000194,Fort Bowie National Historic Site,12/19/1960,0,DISTRICT,ARIZONA,Cochise,Bowie,12 mi. S of Bowie,https://catalog.archives.gov/id/75609680, NATIONAL PARK SERVICE,,Fort Bowie
74000443,Fort Huachuca,5/11/1976,0,DISTRICT,ARIZONA,Cochise,Sierra Vista,3.6 mi. W of Sierra Vista,https://catalog.archives.gov/id/75609672, DEPARTMENT OF THE ARMY, Old Post Area,
66000183,Gatlin Site,7/19/1964,1,SITE,ARIZONA,Maricopa,Gila Bend,Address Restricted,,, Arizona Z:2:1;Arizona State Museum Site Number Z:2:1,
82001721,Grand Canyon Lodge,5/28/1987,0,DISTRICT,ARIZONA,Coconino,Grand Canyon National Park,North Rim on Bright Angel Point,https://catalog.archives.gov/id/75609759, NATIONAL PARK SERVICE, Grand Canyon Lodge Historic District,Grand Canyon
87001412,Grand Canyon Park Operations Building,5/28/1987,0,BUILDING,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,https://catalog.archives.gov/id/75609513, NATIONAL PARK SERVICE, Grand Canyon Ranger Office;See Also:Grand Canyon Village His,Grand Canyon
87001411,Grand Canyon Power House,5/28/1987,0,BUILDING,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,https://catalog.archives.gov/id/75609515, NATIONAL PARK SERVICE, See Also:Grand Canyon Village Historic District,Grand Canyon
74000337,Grand Canyon Railroad Station,5/28/1987,0,BUILDING,ARIZONA,Coconino,Grand Canyon,Grand Canyon National Park Rte. 8A,https://catalog.archives.gov/id/75609806, NATIONAL PARK SERVICE, Grand Canyon Depot,Grand Canyon
75000343,Grand Canyon Village Historic District,2/18/1997,0,DISTRICT,ARIZONA,Coconino,Grand Canyon,AZ 64,https://catalog.archives.gov/id/75609733, NATIONAL PARK SERVICE, Grand Canyon Village;See Also:74000334;74000336;74000337;750,Grand Canyon
95001226,Grand Canyon Village Historic District (Boundary Increase),2/18/1997,0,DISTRICT,ARIZONA,Coconino,Grand Canyon,Grand Canyon National Park,https://catalog.archives.gov/id/75609525, NATIONAL PARK SERVICE, Grand Canyon Village;See Also:Grand Canyon Village Historic,Grand Canyon
71000119,Guevavi Mission Ruins,6/21/1990,0,SITE,ARIZONA,Santa Cruz,Nogales,6 mi. N of U.S.-Mexican border,https://catalog.archives.gov/id/75610627,, San Gabriel de Guevavi;Los Santos Angeles de Guevavi;Mission,
66000184,Hohokam-Pima Irrigation Sites,5/23/1963,1,SITE,ARIZONA,Maricopa,Phoenix,Address Restricted,,,,
66000167,Hubbell Trading Post National Historic Site,12/12/1960,0,DISTRICT,ARIZONA,Apache,Ganado,W side of Ganado,https://catalog.archives.gov/id/75609494, NATIONAL PARK SERVICE,,Hubbell Trading Post
66000196,Jerome Historic District,11/13/1966,0,DISTRICT,ARIZONA,Yavapai,Jerome,Jerome,https://catalog.archives.gov/id/75609560,,,
66000180,Kinishba Ruins,7/19/1964,1,DISTRICT,ARIZONA,Gila,Whiteriver,Address Restricted,,,,
100006279,Klagetoh (Leegito) Chapter House,1/13/2021,0,building,ARIZONA,Apache,Klagetoh,"US 191, approx. milepost 397 (west side)",,,,
100006280,Klagetoh (Leegito) Chapter House,1/13/2021,0,building,ARIZONA,Apache,Klagetoh,"US 191, approx. milepost 397 (west side)",,,,
67000002,Lehner Mammoth-Kill Site,5/28/1967,1,SITE,ARIZONA,Cochise,Hereford,Address Restricted,, BUREAU OF LAND MANAGEMENT,,
66000172,Lowell Observatory,12/21/1965,0,BUILDING,ARIZONA,Coconino,Flagstaff,1 mi. W of Flagstaff on Mars Hill,https://catalog.archives.gov/id/75609527,,,
87001436,"Mary Jane Colter Buildings (Hopi House, The Lookout, Hermit's Rest, and the Desert View Watchtower)",5/28/1987,0,DISTRICT,ARIZONA,Coconino,Grand Canyon National Park,Several locations along the South Rim,https://catalog.archives.gov/id/75609521, NATIONAL PARK SERVICE, See Also:Hermit's Rest;Grand Canyon Village Historic Distric,Grand Canyon
66000173,"Merriam, C. Hart, Base Camp Site",12/21/1965,0,SITE,ARIZONA,Coconino,Flagstaff,20 mi. NW of Flagstaff in Coconino National Forest,https://catalog.archives.gov/id/75609529, FOREST SERVICE,,
12001019,Murray Springs Clovis Site,10/16/2012,0,SITE,ARIZONA,Cochise,Sierra Vista,"T.21 S., R.21 E.; Sec. 26 (portion) East of Moson Rd.",,,,
04001155,Navajo Nation Council Chamber,8/18/2004,0,BUILDING,ARIZONA,Apache,Window Rock,W008-013 Circle Boulevard,https://catalog.archives.gov/id/75609498,, Council House; Central Agency House,
66000188,Old Oraibi,7/19/1964,0,DISTRICT,ARIZONA,Navajo,Oraibi,Hopi Indian Reservation,https://catalog.archives.gov/id/75609543,,,
100000838,Painted Desert Community Complex Historic District,12/23/2016,0,district,ARIZONA,Apache,Petrified Forest National Park,One Park Rd.,,,,
87001421,Painted Desert Inn,5/28/1987,0,BUILDING,ARIZONA,Apache,Petrified Forest National Park,Off US 40,https://catalog.archives.gov/id/75609545, NATIONAL PARK SERVICE,,Petrified Forest
71000109,Phelps Dodge General Office Building,5/4/1983,0,BUILDING,ARIZONA,Cochise,Bisbee,"Copper Queen Plaza, intersection of Main St. and Brewery Gulch",https://catalog.archives.gov/id/75609660,,,
66000182,Point of Pines,7/19/1964,1,SITE,ARIZONA,Graham,Morenci,Address Restricted,,, Point of Pines Site,
12001010,"Poston Elementary School, Unit 1, Colorado River Relocation Center",10/16/2012,0,BUILDING,ARIZONA,La Paz,Parker,Poston Rd. .4 mi. west of Mohave Rd.,,,,
66000185,Pueblo Grande Ruin,7/19/1965,0,DISTRICT,ARIZONA,Maricopa,Phoenix,4619 E. Washington Ave.,https://catalog.archives.gov/id/75609536,, Arizona State Museum site nos.:U:9:1;U:9:2;U:9:27;U:9:28,
09000082,"Sage Memorial Hospital School of Nursing, Ganado Mission",1/16/2009,0,DISTRICT,ARIZONA,Apache,Ganado,"Jct. AZ 264 and 291, Navajo Reservation",https://catalog.archives.gov/id/75609496,,,
66000170,San Bernardino Ranch,7/19/1964,0,DISTRICT,ARIZONA,Cochise,Douglas,17 mi. E of Douglas on the international boundary,https://catalog.archives.gov/id/75609503,, John Slaughter Ranch,
66000191,San Xavier del Bac,10/9/1960,0,BUILDING,ARIZONA,Pima,Tucson,9 mi. S of Tucson via Mission Rd.,https://catalog.archives.gov/id/75609548,, San Xavier del Bac Mission,
66000181,Sierra Bonita Ranch,7/19/1964,0,BUILDING,ARIZONA,Graham,Bonita,SW of Bonita,https://catalog.archives.gov/id/75609532,, The Hooker Ranch,
74000457,Taliesin West,5/20/1982,0,BUILDING,ARIZONA,Maricopa,Scottsdale,N of jct. of Shea Blvd. and 108th St.,https://catalog.archives.gov/id/75610065,, Taliesin in the Desert;Taliesin on the Maricopa Mesa,
66000171,Tombstone Historic District,7/4/1961,0,DISTRICT,ARIZONA,Cochise,Tombstone,U.S. 80,https://catalog.archives.gov/id/75609509,, See Also:St. Paul`s Episcopal Church;Tombstone City Hall,
87001437,Tumacacori Museum,5/28/1987,0,BUILDING,ARIZONA,Santa Cruz,Tumacacori,Tumacacori National Monument,https://catalog.archives.gov/id/75609556, NATIONAL PARK SERVICE, See Also:Tumacacori National Monument,Tumacacori
66000189,Ventana Cave,1/20/1961,1,SITE,ARIZONA,Pima,Santa Rosa,Address Restricted,,, Arizona State Museum Survey Ariz Z:12:5,
66000177,Winona,7/19/1964,1,DISTRICT,ARIZONA,Coconino,Winona,Address Restricted,, U.S. DEPARTMENT OF AGRICULTURE; FOREST SERVICE, Winona Village,
66000197,Yuma Crossing and Associated Sites,11/13/1966,0,DISTRICT,ARIZONA,Yuma,Yuma,Banks of the Colorado River,https://catalog.archives.gov/id/75609562, BUREAU OF RECLAMATION,,
